Country,Action Area,2010,2011,2012,2013,2014,2015,2016
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: One-Stop-Shop services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: One-Stop-Shop services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: One-Stop-Shop services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: One-Stop-Shop services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: One-Stop-Shop services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: One-Stop-Shop services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"England: Strengthened and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse via the Alcohol and Drug Education and Prevention Information Service (ADEPIS), which reviews and assesses the effectiveness of various prevention programmes.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","England: Encouraged the provision of alcohol-free leisure centres for youth e.g. Youth Cafes, alcohol-free music, dance and sports venues. Public Health England’s drugs and alcohol capital funding has funded several alcohol-free venue projects.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Community and workplace action,Northern Ireland: Facilitated early detection at the local level and improved local cooperation among professional groups dealing with children who suffer neglect or mistreatment in families with alcohol/ substance abuse. The Hidden harm action plan and services have been in place since 2010.,NA,Northern Ireland: Revised guidelines for workplace alcohol and drug policies have been in place since 2012.,"Northern Ireland: A range of work has been undertaken by the Public Health Agency, including the development of a commissioning framework in 2013, to strengthen and disseminate the evidence base for preventive interventions for youth living in families with alcohol and substance abuse.","England: Developed and supported the implementation of health promotion actions in the workplace for young people, also including risk of alcohol. Public Health England funded the Workplace Wellbeing Charter, though not specifically focusing on young people, and an alcohol specific toolkit has yet to be developed.","Scotland: As part of the Partnership Drugs Initiative (PDI), the Lloyds TSB Foundation for Scotland, which receives funding from Scottish Government, published ˜Everyone has a story,” which is a project that was designed to address specific gaps in knowledge, support and evidence by using a participatory and consultative approach to improve the support for children and young people whose parents are in recovery. There are a number of recommendations identified, including for the Scottish Government, and the PDI is working with key partners to take these forward.","England: Second phase of the Local Alcohol Action Areas (LAAA) programme was announced in March 2016 (in the Modern Crime Prevention Strategy), to be launched by the end of 2016. The first phase ran from February 2014 to March 2015 as part of the 2012 Alcohol Strategy. The programme gives the areas involved the choice of one or more of three aims: to reduce alcohol-related crime and disorder; to reduce alcohol-related health harms; and to promote growth by establishing diverse and vibrant night-time economies. It promotes multi-stakeholder programmes to ensure better enforcement of age limits. Within each of the three aims, LAAAs can also take community measures to tackle young people’s alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,Availability of alcohol,NA,Scotland: A mandatory age verification scheme was implemented,England and Wales: The punitive minimum period of voluntary closure that can be given as an alternative for persistent underage sales was increased to 48 hours and the maximum to two weeks.,NA,NA,England and Wales: The maximum fine for persistent underage sales of alcohol was made into an unlimited fine.,Scotland: Publication of Alcohol Focus Scotland’s “Alcohol licensing in your community” toolkit.
United Kingdom of Great Britain and Northern Ireland,Availability of alcohol,NA,Scotland: A mandatory age verification scheme was implemented,England and Wales: The punitive minimum period of voluntary closure that can be given as an alternative for persistent underage sales was increased to 48 hours and the maximum to two weeks.,NA,NA,England and Wales: The maximum fine for persistent underage sales of alcohol was made into an unlimited fine.,Scotland: Scottish Qualifications Authority Alcohol Licensing Qualifications
United Kingdom of Great Britain and Northern Ireland,Availability of alcohol,NA,Scotland: A mandatory age verification scheme was implemented,England and Wales: The punitive minimum period of voluntary closure that can be given as an alternative for persistent underage sales was increased to 48 hours and the maximum to two weeks.,NA,NA,"Scotland: Air Weapons and Licensing (Scotland) Act 2015, which includes amendments to the 2005 Act as regards alcohol licensing. The Act 2015 includes the creation of new offences of supplying alcohol to a child or young person for consumption in a public place.",Scotland: Publication of Alcohol Focus Scotland’s “Alcohol licensing in your community” toolkit.
United Kingdom of Great Britain and Northern Ireland,Availability of alcohol,NA,Scotland: A mandatory age verification scheme was implemented,England and Wales: The punitive minimum period of voluntary closure that can be given as an alternative for persistent underage sales was increased to 48 hours and the maximum to two weeks.,NA,NA,"Scotland: Air Weapons and Licensing (Scotland) Act 2015, which includes amendments to the 2005 Act as regards alcohol licensing. The Act 2015 includes the creation of new offences of supplying alcohol to a child or young person for consumption in a public place.",Scotland: Scottish Qualifications Authority Alcohol Licensing Qualifications
United Kingdom of Great Britain and Northern Ireland,Reducing the negative consequences of drinking and alcohol intoxication,NA,"England: Since 2011, through the Responsibility Deal, the alcohol industry has worked voluntarily with Government to display a warning about drinking during pregnancy on alcoholic bottles and cans, as well as clear unit content and NHS guidelines on alcohol consumption. An independent report in 2014 BRI found that nearly 80% of labels provided all three elements correctly.",NA,NA,NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,Health services' response,NA,NA,NA,"England: Introduced in April 2013, the NHS Health Check (for adults in England aged 40 to 74) is an ideal opportunity for GPs and other healthcare professionals to offer advice to promote a healthier lifestyle. The NHS Health Check includes an alcohol risk assessment, which may then lead to brief advice on alcohol and the risks to health. It may also involve a referral to a specialist alcohol service if needed. About 3 million adults are invited annually for these checks.","Northern Ireland: Regional enhanced service was put in place for brief interventions in primary care, and the roll out of a substance misuse liaison service in acute hospitals commenced.","Wales: Launch of Draft Public Health (Minimum Price for Alcohol) (Wales) Bill in July 2015, national alcohol brief interventions programme.",Scotland: Development of FASD clinical pathway and diagnostic guideline (due to be introduced).
United Kingdom of Great Britain and Northern Ireland,Health services' response,NA,NA,NA,"England: Introduced in April 2013, the NHS Health Check (for adults in England aged 40 to 74) is an ideal opportunity for GPs and other healthcare professionals to offer advice to promote a healthier lifestyle. The NHS Health Check includes an alcohol risk assessment, which may then lead to brief advice on alcohol and the risks to health. It may also involve a referral to a specialist alcohol service if needed. About 3 million adults are invited annually for these checks.","Northern Ireland: Regional enhanced service was put in place for brief interventions in primary care, and the roll out of a substance misuse liaison service in acute hospitals commenced.","Wales: Launch of Draft Public Health (Minimum Price for Alcohol) (Wales) Bill in July 2015, national alcohol brief interventions programme.",Publication of the UK Chief Medical Officers’ guidelines on how to keep health risks from drinking alcohol to a low level (“UK Chief Medical Officers’ Low Risk Drinking Guidelines”).
United Kingdom of Great Britain and Northern Ireland,Health services' response,NA,NA,NA,"England: Introduced in April 2013, the NHS Health Check (for adults in England aged 40 to 74) is an ideal opportunity for GPs and other healthcare professionals to offer advice to promote a healthier lifestyle. The NHS Health Check includes an alcohol risk assessment, which may then lead to brief advice on alcohol and the risks to health. It may also involve a referral to a specialist alcohol service if needed. About 3 million adults are invited annually for these checks.",Scotland: Publication of “Process evaluation of Alcohol Brief Interventions in wider settings (Young People and Social Work)” by NHS Health Scotland.,"Wales: Launch of Draft Public Health (Minimum Price for Alcohol) (Wales) Bill in July 2015, national alcohol brief interventions programme.",Scotland: Development of FASD clinical pathway and diagnostic guideline (due to be introduced).
United Kingdom of Great Britain and Northern Ireland,Health services' response,NA,NA,NA,"England: Introduced in April 2013, the NHS Health Check (for adults in England aged 40 to 74) is an ideal opportunity for GPs and other healthcare professionals to offer advice to promote a healthier lifestyle. The NHS Health Check includes an alcohol risk assessment, which may then lead to brief advice on alcohol and the risks to health. It may also involve a referral to a specialist alcohol service if needed. About 3 million adults are invited annually for these checks.",Scotland: Publication of “Process evaluation of Alcohol Brief Interventions in wider settings (Young People and Social Work)” by NHS Health Scotland.,"Wales: Launch of Draft Public Health (Minimum Price for Alcohol) (Wales) Bill in July 2015, national alcohol brief interventions programme.",Publication of the UK Chief Medical Officers’ guidelines on how to keep health risks from drinking alcohol to a low level (“UK Chief Medical Officers’ Low Risk Drinking Guidelines”).
United Kingdom of Great Britain and Northern Ireland,Marketing of alcoholic beverages,NA,NA,NA,"In December 2013, the Broadcast Committee of Advertising Practice (the body that writes and maintains the advertising rules for broadcast) published a new strengthened guidance note on the scheduling of television advertisements to help broadcasters identify which television programmes should exclude ads for alcohol and other age-restricted products.",NA,NA,NA
United Kingdom of Great Britain and Northern Ireland,Drink-driving policies and countermeasures,NA,NA,NA,NA,Northern Ireland: Established lower BAC levels for young drivers and professional drivers for public transport services for children (not yet implemented).,"England: The statutory option (whereby drivers could provide a sample of blood or urine, if the breath specimen did not exceed 50mg of alcohol per 100ml of breath) was removed.",NA
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Wales: Publication of a report by the National Assembly for Wales Health and Social Care Committee, “Alcohol and substance misuse, August 2015.” The reports includes a series of recommendations, including more leadership from the Welsh Government at a strategic level in order to raise awareness of the harms associated with alcohol and substance misuse and improved training for GPs in order to remove some of the barriers to accessing services.",Scotland: Scottish Government is currently undertaking a formal review of the Child Protection system in Scotland which will make recommendations by the end of 2016.
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Wales: Publication of a report by the National Assembly for Wales Health and Social Care Committee, “Alcohol and substance misuse, August 2015.” The reports includes a series of recommendations, including more leadership from the Welsh Government at a strategic level in order to raise awareness of the harms associated with alcohol and substance misuse and improved training for GPs in order to remove some of the barriers to accessing services.","England: Public Health England’s “One You” campaign, launched 2016, aims to motivate people to take steps to improve their health through action on the main risk factors, such as smoking, inactivity, obesity, and alcohol consumption.  It provides a Drinks Tracker app to help drinkers identify risky behaviour and lower their alcohol consumption."
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Wales: Publication of a report by the National Assembly for Wales Health and Social Care Committee, “Alcohol and substance misuse, August 2015.” The reports includes a series of recommendations, including more leadership from the Welsh Government at a strategic level in order to raise awareness of the harms associated with alcohol and substance misuse and improved training for GPs in order to remove some of the barriers to accessing services.",Wales: Publication of the substance misuse delivery plan: “Working together to reduce harm: delivery plan 2016-2018.”
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Wales: Publication of a report by the National Assembly for Wales Health and Social Care Committee, “Alcohol and substance misuse, August 2015.” The reports includes a series of recommendations, including more leadership from the Welsh Government at a strategic level in order to raise awareness of the harms associated with alcohol and substance misuse and improved training for GPs in order to remove some of the barriers to accessing services.",Northern Ireland: Alcohol awareness week runs in June.
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Publication of “Government Response to the House of Lords European Union Committee’s 8th Report of Session 2014-15: A new EU Alcohol Strategy?”,Scotland: Scottish Government is currently undertaking a formal review of the Child Protection system in Scotland which will make recommendations by the end of 2016.
United Kingdom of Great Britain and Northern Ireland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Publication of “Government Response to the House of Lords European Union Committee’s 8th Report of Session 2014-15: A new EU Alcohol Strategy?”,"England: Public Health England’s “One You” campaign, launched 2016, aims to motivate people to take steps to improve their health through action on the main risk factors, such as smoking, inactivity, obesity, and alcohol consumption.  It provides a Drinks Tracker app to help drinkers identify risky behaviour and lower their alcohol consumption."
